text,Confirmation Bias,Overgeneralization,Stereotyping,Emotional Reasoning,False Dilemma,Catastrophizing,Hasty Generalization,Black-and-White Thinking
Men are naturally more aggressive than women.,0,0,1,0,0,0,0,0
Women are more nurturing and caring than men.,0,0,1,0,0,0,0,0
Only men can work in construction.,0,0,1,0,0,0,0,0
Women are too emotional to be lawyers.,0,0,1,0,0,0,0,0
Men are better at math and science.,0,0,1,0,0,0,0,0
Women are more likely to be teachers or nurses.,0,0,1,0,0,0,0,0
Men don't know how to express their feelings.,0,0,1,0,0,0,0,0
Women are too sensitive to be politicians.,0,0,1,0,0,0,0,0
Men are more competitive than women.,0,0,1,0,0,0,0,0
Women are better at multitasking than men.,0,0,1,0,0,0,0,0
Men are naturally more dominant than women.,0,0,1,0,0,0,0,0
Women are more interested in fashion and beauty.,0,0,1,0,0,0,0,0
Men are better at sports than women.,0,0,1,0,0,0,0,0
Women are too indecisive to be leaders.,0,0,1,0,0,0,0,0
Men don't like to ask for directions.,0,0,1,0,0,0,0,0
Women are more talkative than men.,0,0,1,0,0,0,0,0
Men are more logical and rational than women.,0,0,1,0,0,0,0,0
Women are more interested in relationships than men.,0,0,1,0,0,0,0,0
Men are more likely to be entrepreneurs.,0,0,1,0,0,0,0,0
Women are too emotional to be surgeons.,0,0,1,0,0,0,0,0
Men are better at managing finances.,0,0,1,0,0,0,0,0
Women are more creative and artistic.,0,0,1,0,0,0,0,0
Men are more likely to be engineers or technicians.,0,0,1,0,0,0,0,0
Women are too weak to work in physically demanding jobs.,0,0,1,0,0,0,0,0
Men are more aggressive and violent.,0,0,1,0,0,0,0,0
Women are more interested in cooking and cleaning.,0,0,1,0,0,0,0,0
Men are better at problem-solving.,0,0,1,0,0,0,0,0
Women are too dependent on men.,0,0,1,0,0,0,0,0
Men are more self-sufficient and independent.,0,0,1,0,0,0,0,0
Women are more likely to be stay-at-home parents.,0,0,1,0,0,0,0,0
Men are more ambitious and driven.,0,0,1,0,0,0,0,0
Women are too passive and submissive.,0,0,1,0,0,0,0,0
Men are more likely to take risks.,0,0,1,0,0,0,0,0
Women are more cautious and risk-averse.,0,0,1,0,0,0,0,0
Men are better at handling conflict and competition.,0,0,1,0,0,0,0,0
Women are more likely to avoid conflict and seek harmony.,0,0,1,0,0,0,0,0
Men are more interested in politics and current events.,0,0,1,0,0,0,0,0
Women are more interested in gossip and social media.,0,0,1,0,0,0,0,0
Men are more likely to be in positions of power.,0,0,1,0,0,0,0,0
Women are more likely to be in support roles.,0,0,1,0,0,0,0,0
Men are more confident and self-assured.,0,0,1,0,0,0,0,0
Women are more humble and modest.,0,0,1,0,0,0,0,0
Asians are naturally good at math.,0,0,1,0,0,0,0,0
All African Americans are great athletes.,0,0,1,0,0,0,0,0
Hispanics are known for their love of spicy food.,0,0,1,0,0,0,0,0
Indians are always good at technology.,0,0,1,0,0,0,0,0
Caucasians are better at swimming than other races.,0,0,1,0,0,0,0,0
Arabs are wealthy due to oil money.,0,0,1,0,0,0,0,0
Jews are good with money and business.,0,0,1,0,0,0,0,0
Italians are excellent cooks and love pasta.,0,0,1,0,0,0,0,0
Germans are strict and punctual.,0,0,1,0,0,0,0,0
African Americans are naturally good dancers.,0,0,1,0,0,0,0,0
Chinese people are very good at martial arts.,0,0,1,0,0,0,0,0
Japanese people are polite and respectful.,0,0,1,0,0,0,0,0
"Mexicans are hard workers, especially in farming.",0,0,1,0,0,0,0,0
Koreans are highly competitive and driven.,0,0,1,0,0,0,0,0
Russians are rugged and cold-resistant.,0,0,1,0,0,0,0,0
Irish people love to drink and party.,0,0,1,0,0,0,0,0
French people are romantic and fashionable.,0,0,1,0,0,0,0,0
Spanish people are passionate and expressive.,0,0,1,0,0,0,0,0
Greeks are skilled in philosophy and logic.,0,0,1,0,0,0,0,0
Brazilian women are beautiful and love to dance.,0,0,1,0,0,0,0,0
British people have bad teeth and love tea.,0,0,1,0,0,0,0,0
Canadians are friendly and love hockey.,0,0,1,0,0,0,0,0
Native Americans are close to nature and spiritual.,0,0,1,0,0,0,0,0
Turks are skilled in textiles and carpets.,0,0,1,0,0,0,0,0
Poles are hardworking and skilled in manufacturing.,0,0,1,0,0,0,0,0
"Swedes are tall, blonde, and beautiful.",0,0,1,0,0,0,0,0
Dutch people are tall and love cheese.,0,0,1,0,0,0,0,0
Portuguese people are skilled in navigating and exploration.,0,0,1,0,0,0,0,0
Thais are friendly and love spicy food.,0,0,1,0,0,0,0,0
Vietnamese people are resourceful and resilient.,0,0,1,0,0,0,0,0
Filipinos are skilled in caregiving and nursing.,0,0,1,0,0,0,0,0
Pakistanis are skilled in textiles and manufacturing.,0,0,1,0,0,0,0,0
Nigerians are skilled in music and art.,0,0,1,0,0,0,0,0
"South Africans are skilled in sports, especially rugby.",0,0,1,0,0,0,0,0
Argentinians are passionate and love soccer.,0,0,1,0,0,0,0,0
Indonesians are skilled in crafts and textiles.,0,0,1,0,0,0,0,0
Malaysians are skilled in electronics and manufacturing.,0,0,1,0,0,0,0,0
Sri Lankans are skilled in tea production and hospitality.,0,0,1,0,0,0,0,0
Romanians are skilled in IT and technology.,0,0,1,0,0,0,0,0
Bulgarians are skilled in agriculture and farming.,0,0,1,0,0,0,0,0
Croatians are skilled in tourism and hospitality.,0,0,1,0,0,0,0,0
Ukrainians are skilled in engineering and manufacturing.,0,0,1,0,0,0,0,0
Belgians are skilled in chocolate production and brewing.,0,0,1,0,0,0,0,0
Austrians are skilled in music and the arts.,0,0,1,0,0,0,0,0
Swiss people are skilled in banking and watchmaking.,0,0,1,0,0,0,0,0
Young people are always glued to their smartphones.,0,0,1,0,0,0,0,0
Older adults often struggle with new technology.,0,0,1,0,0,0,0,0
The young are more open to trying new foods.,0,0,1,0,0,0,0,0
Elderly individuals tend to prefer traditional cuisine.,0,0,1,0,0,0,0,0
Young adults love attending music festivals.,0,0,1,0,0,0,0,0
"Older folks usually enjoy quieter, more low-key events.",0,0,1,0,0,0,0,0
The young are notorious for their lack of patience.,0,0,1,0,0,0,0,0
Older people are often praised for their wisdom and life experience.,0,0,1,0,0,0,0,0
Youngsters are constantly looking for the next big thrill.,0,0,1,0,0,0,0,0
Older adults often prioritize stability and security.,0,0,1,0,0,0,0,0
Young people are more likely to take risks in their careers.,0,0,1,0,0,0,0,0
Older workers tend to value job security above all else.,0,0,1,0,0,0,0,0
The young have a strong desire to travel and explore the world.,0,0,1,0,0,0,0,0
Elderly individuals may prefer to stay closer to home and family.,0,0,1,0,0,0,0,0
Young adults are more prone to making impulsive decisions.,0,0,1,0,0,0,0,0
Older adults are often sought out for their guidance and advice.,0,0,1,0,0,0,0,0
The young have a vibrant and energetic approach to life.,0,0,1,0,0,0,0,0
Older people may be more set in their ways and resistant to change.,0,0,1,0,0,0,0,0
Young individuals are quick to adapt to new situations.,0,0,1,0,0,0,0,0
Older adults may need more time to adjust to new environments.,0,0,1,0,0,0,0,0
The young are often more focused on their physical appearance.,0,0,1,0,0,0,0,0
Elderly individuals may prioritize comfort and practicality over style.,0,0,1,0,0,0,0,0
Young people tend to be more outgoing and social.,0,0,1,0,0,0,0,0
Older adults may be more introverted and prefer quieter social interactions.,0,0,1,0,0,0,0,0
The young are constantly connected to their social media accounts.,0,0,1,0,0,0,0,0
Older people may not fully understand the concept of social media.,0,0,1,0,0,0,0,0
Young adults are more likely to be interested in the latest fashion trends.,0,0,1,0,0,0,0,0
Older adults often have a more classic and timeless sense of style.,0,0,1,0,0,0,0,0
The young have a strong desire for independence and freedom.,0,0,1,0,0,0,0,0
Elderly individuals may require more assistance and support in their daily lives.,0,0,1,0,0,0,0,0
Young individuals are often more spontaneous and open to new experiences.,0,0,1,0,0,0,0,0
Older adults may be more cautious and prefer to stick with what they know.,0,0,1,0,0,0,0,0
The young have a more flexible and carefree attitude towards life.,0,0,1,0,0,0,0,0
Older people may be more serious and responsible in their approach to life.,0,0,1,0,0,0,0,0
Young adults are more likely to be interested in cutting-edge technology.,0,0,1,0,0,0,0,0
Older adults may be more skeptical of new technology and its benefits.,0,0,1,0,0,0,0,0
The young have a strong sense of idealism and a desire to make a difference.,0,0,1,0,0,0,0,0
Elderly individuals may have a more practical and realistic view of the world.,0,0,1,0,0,0,0,0
Young people tend to be more energetic and have a faster pace of life.,0,0,1,0,0,0,0,0
Older adults may be more relaxed and have a slower pace of life.,0,0,1,0,0,0,0,0
The young are often more competitive and driven to succeed.,0,0,1,0,0,0,0,0
Older adults may be more content with their accomplishments and less driven by ambition.,0,0,1,0,0,0,0,0
Young individuals are more likely to be influenced by popular culture.,0,0,1,0,0,0,0,0
Older adults may be more influenced by their personal values and life experiences.,0,0,1,0,0,0,0,0
The young have a more experimental and innovative approach to problem-solving.,0,0,1,0,0,0,0,0
Older people may be more methodical and traditional in their approach to problem-solving.,0,0,1,0,0,0,0,0
The Italian chef was very good at making pasta.,0,0,1,0,0,0,0,0
The Japanese engineer designed a very efficient robot.,0,0,1,0,0,0,0,0
The French artist created a beautiful painting.,0,0,1,0,0,0,0,0
The Indian doctor was known for his excellent medical skills.,0,0,1,0,0,0,0,0
The British lawyer was very good at arguing cases.,0,0,1,0,0,0,0,0
The Chinese math teacher was very strict with her students.,0,0,1,0,0,0,0,0
The Mexican musician played the guitar with passion.,0,0,1,0,0,0,0,0
The German car mechanic was very skilled at fixing engines.,0,0,1,0,0,0,0,0
The Russian ballet dancer was very graceful on stage.,0,0,1,0,0,0,0,0
The Canadian hockey player was very tough on the ice.,0,0,1,0,0,0,0,0
The Australian surfer was very good at riding waves.,0,0,1,0,0,0,0,0
The Brazilian soccer player was very agile on the field.,0,0,1,0,0,0,0,0
The Spanish flamenco dancer was very energetic.,0,0,1,0,0,0,0,0
The Greek philosopher was very wise and knowledgeable.,0,0,1,0,0,0,0,0
The Turkish carpet seller was very good at haggling prices.,0,0,1,0,0,0,0,0
The Swedish furniture designer created very modern and sleek pieces.,0,0,1,0,0,0,0,0
The Scottish bagpiper played traditional music at the wedding.,0,0,1,0,0,0,0,0
The Irish writer was very good at telling stories.,0,0,1,0,0,0,0,0
The Danish architect designed very sustainable buildings.,0,0,1,0,0,0,0,0
The Polish plumber was very good at fixing leaky pipes.,0,0,1,0,0,0,0,0
The Thai chef was very skilled at making spicy dishes.,0,0,1,0,0,0,0,0
The South African safari guide was very knowledgeable about wildlife.,0,0,1,0,0,0,0,0
The Israeli computer programmer was very good at coding.,0,0,1,0,0,0,0,0
The Egyptian archaeologist was very passionate about ancient history.,0,0,1,0,0,0,0,0
The Moroccan rug merchant was very good at selling handmade rugs.,0,0,1,0,0,0,0,0
The Norwegian fisherman was very skilled at catching fish.,0,0,1,0,0,0,0,0
The Portuguese sailor was very good at navigating the sea.,0,0,1,0,0,0,0,0
The Swiss watchmaker was very precise and accurate.,0,0,1,0,0,0,0,0
The Dutch florist was very good at arranging beautiful bouquets.,0,0,1,0,0,0,0,0
The Belgian chocolatier was very skilled at making delicious chocolates.,0,0,1,0,0,0,0,0
The Austrian musician was very good at playing the violin.,0,0,1,0,0,0,0,0
The Finnish software engineer was very good at developing apps.,0,0,1,0,0,0,0,0
The Greek restaurant owner was very hospitable to his customers.,0,0,1,0,0,0,0,0
The Chinese acrobat was very flexible and agile.,0,0,1,0,0,0,0,0
The Indian yoga instructor was very good at teaching meditation techniques.,0,0,1,0,0,0,0,0
The Japanese martial arts instructor was very disciplined and focused.,0,0,1,0,0,0,0,0
The Russian weightlifter was very strong and muscular.,0,0,1,0,0,0,0,0
The Brazilian capoeira instructor was very energetic and dynamic.,0,0,1,0,0,0,0,0
The Spanish bullfighter was very brave and daring.,0,0,1,0,0,0,0,0
The Italian fashion designer was very stylish and fashionable.,0,0,1,0,0,0,0,0
The French perfume maker was very good at creating fragrances.,0,0,1,0,0,0,0,0
The German beer brewer was very skilled at making craft beer.,0,0,1,0,0,0,0,0
The Mexican mariachi player was very good at playing traditional music.,0,0,1,0,0,0,0,0
The Canadian mountie was very good at keeping the peace.,0,0,1,0,0,0,0,0
The Australian cowboy was very good at herding cattle.,0,0,1,0,0,0,0,0
The Scottish Highland dancer was very good at performing traditional dances.,0,0,1,0,0,0,0,0
The Irish folk singer was very good at telling stories through song.,0,0,1,0,0,0,0,0
The Welsh coal miner was very good at extracting coal from the earth.,0,0,1,0,0,0,0,0
All cats are lazy animals.,0,1,0,0,0,0,0,0
Every person I've met from that city is friendly.,0,1,0,0,0,0,0,0
I've never met a person who doesn't like ice cream.,0,1,0,0,0,0,0,0
Nobody in this town knows how to drive properly.,0,1,0,0,0,0,0,0
All students in this school are excellent at math.,0,1,0,0,0,0,0,0
Every morning is sunny in California.,0,1,0,0,0,0,0,0
I always get sick when I travel to a new country.,0,1,0,0,0,0,0,0
All politicians are corrupt and dishonest.,0,1,0,0,0,0,0,0
Nobody likes to work on Mondays.,0,1,0,0,0,0,0,0
Every movie starring my favorite actor is a hit.,0,1,0,0,0,0,0,0
All teachers are passionate about their work.,0,1,0,0,0,0,0,0
I've never seen a person who doesn't own a smartphone.,0,1,0,0,0,0,0,0
All dogs are loyal to their owners.,0,1,0,0,0,0,0,0
"Every time I eat at that restaurant, I get food poisoning.",0,1,0,0,0,0,0,0
Nobody understands the struggles of being a student.,0,1,0,0,0,0,0,0
All people who wear glasses are intelligent.,0,1,0,0,0,0,0,0
Every sports game I watch is exciting.,0,1,0,0,0,0,0,0
I always lose my keys when I'm in a hurry.,0,1,0,0,0,0,0,0
All my friends love to travel.,0,1,0,0,0,0,0,0
Nobody can resist a good chocolate cake.,0,1,0,0,0,0,0,0
Every book I've read by that author is boring.,0,1,0,0,0,0,0,0
All men are good at fixing cars.,0,1,0,0,0,0,0,0
I've never met a person who doesn't love music.,0,1,0,0,0,0,0,0
All women are excellent cooks.,0,1,0,0,0,0,0,0
"Every time it rains, the traffic is terrible.",0,1,0,0,0,0,0,0
Nobody enjoys going to the dentist.,0,1,0,0,0,0,0,0
All rich people are happy and content.,0,1,0,0,0,0,0,0
Every person I've met from that country is polite.,0,1,0,0,0,0,0,0
I always feel tired on Mondays.,0,1,0,0,0,0,0,0
All children are noisy and disruptive.,0,1,0,0,0,0,0,0
Nobody can learn a new language in a week.,0,1,0,0,0,0,0,0
Every movie I've seen this year has been disappointing.,0,1,0,0,0,0,0,0
All athletes are dedicated and hardworking.,0,1,0,0,0,0,0,0
I've never seen a person who doesn't enjoy watching TV.,0,1,0,0,0,0,0,0
All my coworkers are friendly and supportive.,0,1,0,0,0,0,0,0
Every day is a struggle when you're unemployed.,0,1,0,0,0,0,0,0
Nobody likes to exercise in the morning.,0,1,0,0,0,0,0,0
All people who smoke are unhealthy.,0,1,0,0,0,0,0,0
Every person I've met who plays soccer is athletic.,0,1,0,0,0,0,0,0
I always get anxious when I'm in a crowded place.,0,1,0,0,0,0,0,0
All artists are creative and talented.,0,1,0,0,0,0,0,0
Nobody can resist a good bargain.,0,1,0,0,0,0,0,0
"Every time I go to the beach, I get sunburned.",0,1,0,0,0,0,0,0
All people who play video games are addicted.,0,1,0,0,0,0,0,0
I've never met a person who doesn't love pizza.,0,1,0,0,0,0,0,0
All scientists are intelligent and logical.,0,1,0,0,0,0,0,0
"I knew that eating too much sugar is bad for you, and this new study confirms it.",1,0,0,0,0,0,0,0
The latest research on climate change proves that my concerns about the environment were right all along.,1,0,0,0,0,0,0,0
"Every time I see a successful person, it reinforces my belief that hard work is the key to success.",1,0,0,0,0,0,0,0
"My friend's divorce just shows that marriage is not for everyone, just like I've always thought.",1,0,0,0,0,0,0,0
This article about the benefits of meditation validates my decision to start practicing it daily.,1,0,0,0,0,0,0,0
The fact that my favorite sports team won the championship this year proves that they're the best team in the league.,1,0,0,0,0,0,0,0
"I was right to invest in that stock, and the recent surge in its value confirms my good judgment.",1,0,0,0,0,0,0,0
"The new policy at work is a perfect example of how bureaucracy can stifle innovation, just like I've been saying.",1,0,0,0,0,0,0,0
"My neighbor's yard is always messy, which just goes to show that some people are naturally lazy.",1,0,0,0,0,0,0,0
"The latest sales figures demonstrate that our marketing strategy is working, and my ideas were correct.",1,0,0,0,0,0,0,0
Every conversation I have with my uncle reinforces my belief that he's close-minded and stubborn.,1,0,0,0,0,0,0,0
The news about the company's financial troubles proves that I was smart to quit my job there last year.,1,0,0,0,0,0,0,0
This book I'm reading provides overwhelming evidence that my worldview is the correct one.,1,0,0,0,0,0,0,0
"My sister's relationship problems are a clear indication that she's not ready for commitment, just like I thought.",1,0,0,0,0,0,0,0
The data from this experiment confirms my hypothesis and shows that my theory is correct.,1,0,0,0,0,0,0,0
"I've always said that too much screen time is bad for kids, and this new study supports my claim.",1,0,0,0,0,0,0,0
My favorite politician's recent speech was inspiring and reinforces my trust in their leadership.,1,0,0,0,0,0,0,0
The success of my business venture proves that my entrepreneurial skills are superior to others.,1,0,0,0,0,0,0,0
This documentary about the food industry validates my decision to adopt a vegan lifestyle.,1,0,0,0,0,0,0,0
"My experience with public transportation shows that it's always late and inefficient, just like I've been saying.",1,0,0,0,0,0,0,0
The fact that my friend got a job in their field right after graduation proves that their major was a good choice.,1,0,0,0,0,0,0,0
"The recent natural disaster is a clear example of how climate change is real and devastating, just like I've been warning.",1,0,0,0,0,0,0,0
"I've always believed that a positive attitude is key to success, and this self-help book confirms it.",1,0,0,0,0,0,0,0
My colleague's failure to meet deadlines is a perfect example of how some people are not cut out for our line of work.,1,0,0,0,0,0,0,0
"The new restaurant in town is a great addition to the community, and its popularity proves that I have good taste in food.",1,0,0,0,0,0,0,0
The data on housing prices confirms my prediction that the market would fluctuate in this way.,1,0,0,0,0,0,0,0
This article about the importance of work-life balance reinforces my decision to prioritize my personal life.,1,0,0,0,0,0,0,0
"My family's history of health issues proves that genetics play a significant role in our well-being, just like I've always thought.",1,0,0,0,0,0,0,0
The latest fashion trends are a clear indication that my sense of style is superior to others.,1,0,0,0,0,0,0,0
"The fact that my favorite book is a bestseller proves that it's a literary masterpiece, and my taste in literature is impeccable.",1,0,0,0,0,0,0,0
"I was right to be skeptical of that new technology, and its recent recall confirms my doubts.",1,0,0,0,0,0,0,0
"My social media following is a testament to my charisma and ability to connect with people, just like I've always known.",1,0,0,0,0,0,0,0
The news about the local economy proves that my investments in the area were wise decisions.,1,0,0,0,0,0,0,0
This study on productivity confirms that my morning routine is the key to my success.,1,0,0,0,0,0,0,0
"The fact that my team won the competition shows that our strategy was superior to the others, and my leadership was effective.",1,0,0,0,0,0,0,0
"My experience with online shopping proves that it's always more convenient and efficient than traditional retail, just like I've been saying.",1,0,0,0,0,0,0,0
The latest developments in the field of science confirm my theory and prove that I'm a visionary thinker.,1,0,0,0,0,0,0,0
"The fact that my friend's business is struggling is a clear indication that they didn't do enough market research, just like I warned them.",1,0,0,0,0,0,0,0
This documentary about social justice issues validates my involvement in activism and confirms that my efforts are making a difference.,1,0,0,0,0,0,0,0
"The data on customer satisfaction confirms that our company's approach to customer service is the right one, and my ideas were instrumental in its development.",1,0,0,0,0,0,0,0
"My success in my career is a testament to my intelligence and hard work, and proves that I'm better than my peers.",1,0,0,0,0,0,0,0
"The fact that my favorite artist's new album is a critical success proves that they're a genius, and my taste in music is impeccable.",1,0,0,0,0,0,0,0
"This article about the benefits of travel confirms that my decision to take a gap year was the right one, and broadened my perspective in valuable ways.",1,0,0,0,0,0,0,0
"The news about the recent breakthrough in medical research proves that my donations to the cause were well-spent, and my faith in the scientific community is justified.",1,0,0,0,0,0,0,0
"I feel like I'm in love, therefore I must be meant to be with this person.",0,0,0,1,0,0,0,0
"I feel anxious about flying, therefore it's not safe.",0,0,0,1,0,0,0,0
"I feel like I'm being watched, therefore someone is following me.",0,0,0,1,0,0,0,0
"I feel unhappy in my job, therefore I'm not good at it.",0,0,0,1,0,0,0,0
"I feel like I've known you before, therefore we must have met in a past life.",0,0,0,1,0,0,0,0
"I feel frustrated with this situation, therefore it's impossible to fix.",0,0,0,1,0,0,0,0
"I feel tired, therefore I must be getting sick.",0,0,0,1,0,0,0,0
"I feel like I'm not good enough, therefore I'll never succeed.",0,0,0,1,0,0,0,0
"I feel nervous about public speaking, therefore I'm a bad speaker.",0,0,0,1,0,0,0,0
"I feel like I'm being treated unfairly, therefore the system is against me.",0,0,0,1,0,0,0,0
"I feel sad, therefore my life is pointless.",0,0,0,1,0,0,0,0
"I feel uncomfortable around this person, therefore they're a bad person.",0,0,0,1,0,0,0,0
"I feel like I'm running out of time, therefore I'll never accomplish my goals.",0,0,0,1,0,0,0,0
"I feel overwhelmed, therefore I'm a failure.",0,0,0,1,0,0,0,0
"I feel like I don't fit in, therefore there's something wrong with me.",0,0,0,1,0,0,0,0
"I feel angry, therefore someone is to blame.",0,0,0,1,0,0,0,0
"I feel like I'm not learning anything, therefore the teacher is bad.",0,0,0,1,0,0,0,0
"I feel frustrated with myself, therefore I'm a bad person.",0,0,0,1,0,0,0,0
"I feel like I'm being ignored, therefore nobody cares about me.",0,0,0,1,0,0,0,0
"I feel scared, therefore the situation is dangerous.",0,0,0,1,0,0,0,0
"I feel like I've made a mistake, therefore I'm a failure.",0,0,0,1,0,0,0,0
"I feel unhappy in my relationship, therefore it's not meant to be.",0,0,0,1,0,0,0,0
"I feel like I'm not good at sports, therefore I'll never be athletic.",0,0,0,1,0,0,0,0
"I feel tired of trying, therefore it's not worth it.",0,0,0,1,0,0,0,0
"I feel like I'm all alone, therefore nobody understands me.",0,0,0,1,0,0,0,0
"I feel frustrated with the government, therefore the system is corrupt.",0,0,0,1,0,0,0,0
"I feel like I'm not smart enough, therefore I'll never succeed.",0,0,0,1,0,0,0,0
"I feel uncomfortable with silence, therefore something is wrong.",0,0,0,1,0,0,0,0
"I feel like I'm being judged, therefore people don't like me.",0,0,0,1,0,0,0,0
"I feel anxious about the future, therefore it's going to be terrible.",0,0,0,1,0,0,0,0
"I feel like I'm stuck, therefore I'll never move forward.",0,0,0,1,0,0,0,0
"I feel unhappy with my body, therefore I'm unattractive.",0,0,0,1,0,0,0,0
"I feel like I'm not doing enough, therefore I'm a bad person.",0,0,0,1,0,0,0,0
"I feel frustrated with technology, therefore it's useless.",0,0,0,1,0,0,0,0
"I feel like I'm being taken advantage of, therefore people are out to get me.",0,0,0,1,0,0,0,0
