text,Confirmation Bias,Overgeneralization,Stereotyping,Emotional Reasoning,False Dilemma,Catastrophizing,Hasty Generalization,Black-and-White Thinking
"I feel sad about the past, therefore it's defined me.",0,0,0,1,0,0,0,0
"I feel like I'm not creative, therefore I'll never be artistic.",0,0,0,1,0,0,0,0
"I feel uncomfortable with change, therefore it's a bad thing.",0,0,0,1,0,0,0,0
"I feel like I'm not in control, therefore I'm powerless.",0,0,0,1,0,0,0,0
"I feel frustrated with myself, therefore I'm not capable.",0,0,0,1,0,0,0,0
"I feel like I'm being held back, therefore I'll never reach my potential.",0,0,0,1,0,0,0,0
"I feel unhappy with my life, therefore it's not worth living.",0,0,0,1,0,0,0,0
"I feel like I'm not making progress, therefore I'm failing.",0,0,0,1,0,0,0,0
"I feel anxious about failure, therefore it's inevitable.",0,0,0,1,0,0,0,0
"I feel like I'm not good at relationships, therefore I'm unlovable.",0,0,0,1,0,0,0,0
"I feel frustrated with the world, therefore it's a bad place.",0,0,0,1,0,0,0,0
"I'm definitely going to fail this exam, I just know it.",0,0,0,0,0,1,0,0
"If I go to the party, I'll probably spill something on my shirt and embarrass myself.",0,0,0,0,0,1,0,0
I'm sure the plane will crash as soon as we take off.,0,0,0,0,0,1,0,0
"This new job is going to be a disaster, I can feel it.",0,0,0,0,0,1,0,0
"I'll never make any friends at this new school, I'm doomed to be lonely.",0,0,0,0,0,1,0,0
"If I try out for the team, I'll definitely get injured and be out for the season.",0,0,0,0,0,1,0,0
I just know I'll get into a car accident on the way to work today.,0,0,0,0,0,1,0,0
"This relationship is going to end in a messy breakup, I can see it coming.",0,0,0,0,0,1,0,0
I'm going to get food poisoning from eating at this new restaurant.,0,0,0,0,0,1,0,0
"The weather forecast says there's a chance of rain, so it's definitely going to pour and ruin my outdoor plans.",0,0,0,0,0,1,0,0
I'm sure I'll forget my lines and humiliate myself at the audition.,0,0,0,0,0,1,0,0
"If I take a risk and start my own business, it will undoubtedly fail and leave me bankrupt.",0,0,0,0,0,1,0,0
I'll probably get lost in the city and never find my way back to the hotel.,0,0,0,0,0,1,0,0
This new medication is going to have terrible side effects and make me even sicker.,0,0,0,0,0,1,0,0
I'm definitely going to say something stupid and offend someone at the meeting.,0,0,0,0,0,1,0,0
The stock market is going to crash and wipe out all my savings.,0,0,0,0,0,1,0,0
I just know I'll get into a fight with my neighbor and it will escalate into a huge feud.,0,0,0,0,0,1,0,0
"If I go to the doctor, they'll probably find something seriously wrong with me and I'll have to undergo surgery.",0,0,0,0,0,1,0,0
I'm sure the wedding will be a disaster and the bride will leave the groom at the altar.,0,0,0,0,0,1,0,0
I'll never be able to pay off my student loans and will be in debt forever.,0,0,0,0,0,1,0,0
This new pet is going to destroy my house and cause me nothing but stress.,0,0,0,0,0,1,0,0
I'm going to get stuck in the elevator and have to be rescued by the fire department.,0,0,0,0,0,1,0,0
"If I take a break and go on vacation, something terrible will happen to my house or family while I'm away.",0,0,0,0,0,1,0,0
I just know I'll get audited by the IRS and have to pay a huge fine.,0,0,0,0,0,1,0,0
I'm sure the new policy at work will lead to layoffs and I'll be the first to go.,0,0,0,0,0,1,0,0
I'll probably get sick and have to spend the holidays in the hospital.,0,0,0,0,0,1,0,0
The economy is going to collapse and we'll all be living in poverty soon.,0,0,0,0,0,1,0,0
"If I try to learn a new skill, I'll definitely fail and feel like a total idiot.",0,0,0,0,0,1,0,0
I'm going to get robbed or mugged as soon as I step out of my house.,0,0,0,0,0,1,0,0
This new appliance is going to break down immediately and be a waste of money.,0,0,0,0,0,1,0,0
I just know I'll get stuck in traffic and be late for my appointment.,0,0,0,0,0,1,0,0
I'm sure the world is going to run out of food and water soon and we'll all starve to death.,0,0,0,0,0,1,0,0
"If I go to the gym, I'll probably pull a muscle and be out of commission for weeks.",0,0,0,0,0,1,0,0
I'll never be able to find a job in my field and will have to settle for something I hate.,0,0,0,0,0,1,0,0
I'm going to get into a car accident on the way home from work and it will be fatal.,0,0,0,0,0,1,0,0
This new diet is going to make me sick and cause me to gain even more weight.,0,0,0,0,0,1,0,0
I just know I'll get caught in a natural disaster and have to survive on my own in the wilderness.,0,0,0,0,0,1,0,0
I'm sure the company is going to go bankrupt and I'll lose my retirement savings.,0,0,0,0,0,1,0,0
"If I take a chance and ask someone out, they'll definitely reject me and I'll be humiliated.",0,0,0,0,0,1,0,0
I'll probably get arrested and thrown in jail for something I didn't even do.,0,0,0,0,0,1,0,0
I'm going to get bitten by a poisonous insect and die a slow and painful death.,0,0,0,0,0,1,0,0
This new technology is going to take over the world and enslave humanity.,0,0,0,0,0,1,0,0
I just know I'll get lost at sea and have to survive on a deserted island with no rescue in sight.,0,0,0,0,0,1,0,0
I'm sure the environmental disaster is going to happen soon and we'll all have to flee the planet.,0,0,0,0,0,1,0,0
You're either with us or against us in this project.,0,0,0,0,1,0,0,0
"If you don't support the new policy, then you're not a team player.",0,0,0,0,1,0,0,0
"Either you're a morning person or a night owl, there's no in between.",0,0,0,0,1,0,0,0
"If you don't like the movie, then you just don't understand good cinema.",0,0,0,0,1,0,0,0
"You're either a fan of the book or the movie, you can't like both equally.",0,0,0,0,1,0,0,0
"Either we go to the beach or we stay home, those are our only options.",0,0,0,0,1,0,0,0
"If you don't vote for our candidate, then you're wasting your vote.",0,0,0,0,1,0,0,0
"You're either a dog person or a cat person, you can't be both.",0,0,0,0,1,0,0,0
"Either we take the bus or we walk, there are no other transportation options.",0,0,0,0,1,0,0,0
"If you don't study every day, then you'll never pass the exam.",0,0,0,0,1,0,0,0
"Either you're a leader or a follower, there's no middle ground.",0,0,0,0,1,0,0,0
"If you don't like the new restaurant, then you just don't have good taste.",0,0,0,0,1,0,0,0
"You're either a city person or a country person, you can't prefer both.",0,0,0,0,1,0,0,0
Either we go to the gym or we don't exercise at all.,0,0,0,0,1,0,0,0
"If you don't support the cause, then you're not a caring person.",0,0,0,0,1,0,0,0
"Either you're a scientist or an artist, you can't be both.",0,0,0,0,1,0,0,0
"If you don't learn a new language, then you'll be left behind.",0,0,0,0,1,0,0,0
"You're either a risk-taker or a play-it-safe person, there's no in between.",0,0,0,0,1,0,0,0
"Either we travel abroad or we stay local, those are our only choices.",0,0,0,0,1,0,0,0
"If you don't have a college degree, then you'll never be successful.",0,0,0,0,1,0,0,0
Either you're a fan of the sports team or you don't care about sports at all.,0,0,0,0,1,0,0,0
"If you don't eat healthy, then you'll be sick all the time.",0,0,0,0,1,0,0,0
"You're either a morning exerciser or a night exerciser, there's no other time.",0,0,0,0,1,0,0,0
"Either we buy a new car or we keep the old one, there are no other options.",0,0,0,0,1,0,0,0
"If you don't have a lot of money, then you'll never be happy.",0,0,0,0,1,0,0,0
"Either you're a reader or a TV watcher, you can't enjoy both equally.",0,0,0,0,1,0,0,0
"If you don't have a big social media following, then you're not important.",0,0,0,0,1,0,0,0
"You're either a competitive person or a non-competitive person, there's no middle ground.",0,0,0,0,1,0,0,0
"Either we go to the party or we stay home, those are our only choices.",0,0,0,0,1,0,0,0
"If you don't like the music, then you just don't have good taste.",0,0,0,0,1,0,0,0
"Either you're a planner or a spontaneous person, you can't be both.",0,0,0,0,1,0,0,0
"If you don't take the job offer, then you'll regret it for the rest of your life.",0,0,0,0,1,0,0,0
"You're either a team player or a solo player, there's no in between.",0,0,0,0,1,0,0,0
"Either we go to the mountains or the beach, those are our only vacation options.",0,0,0,0,1,0,0,0
"If you don't have a lot of friends, then you're unpopular.",0,0,0,0,1,0,0,0
"Either you're a tech person or a non-tech person, you can't be both.",0,0,0,0,1,0,0,0
"If you don't support the movement, then you're not a good person.",0,0,0,0,1,0,0,0
"You're either a creative person or a logical person, there's no middle ground.",0,0,0,0,1,0,0,0
"Either we buy a house or we rent an apartment, those are our only options.",0,0,0,0,1,0,0,0
"If you don't have a high-paying job, then you'll never be successful.",0,0,0,0,1,0,0,0
"Either you're a thrill-seeker or a play-it-safe person, there's no in between.",0,0,0,0,1,0,0,0
"If you don't like the food, then you just don't have good taste.",0,0,0,0,1,0,0,0
"You're either a hard worker or a slacker, there's no middle ground.",0,0,0,0,1,0,0,0
"Either we go to the concert or we stay home, those are our only choices.",0,0,0,0,1,0,0,0
"If you don't have a lot of experience, then you'll never get the job.",0,0,0,0,1,0,0,0
"Either you're a morning coffee drinker or a tea drinker, there's no other option.",0,0,0,0,1,0,0,0
"This cake is completely delicious, I've never tasted anything better.",0,0,0,0,0,0,0,1
"The new policy is absolutely awful, it's going to ruin the company.",0,0,0,0,0,0,0,1
"I'm totally bored with this movie, it's the worst thing I've ever seen.",0,0,0,0,0,0,0,1
"She's a perfect singer, her voice is flawless in every way.",0,0,0,0,0,0,0,1
"The service at this restaurant is terrible, we'll never come back.",0,0,0,0,0,0,0,1
"His new book is completely captivating, I couldn't put it down.",0,0,0,0,0,0,0,1
"The weather forecast is absolutely terrible, it's going to rain all day.",0,0,0,0,0,0,0,1
"This is the perfect vacation spot, I'm so glad we came here.",0,0,0,0,0,0,0,1
"I'm totally unimpressed with the new smartphone, it's a complete waste of money.",0,0,0,0,0,0,0,1
"The food at this buffet is completely disgusting, I wouldn't feed it to my worst enemy.",0,0,0,0,0,0,0,1
"The movie was absolutely hilarious, I laughed from start to finish.",0,0,0,0,0,0,0,1
"The hotel room is perfect, it has everything we need and more.",0,0,0,0,0,0,0,1
"This cake is totally inedible, it's the worst thing I've ever tasted.",0,0,0,0,0,0,0,1
"The concert was absolutely amazing, the best I've ever been to.",0,0,0,0,0,0,0,1
"The beach is completely crowded, I've never seen so many people in one place.",0,0,0,0,0,0,0,1
"The new employee is totally incompetent, they can't even do the simplest tasks.",0,0,0,0,0,0,0,1
"The view from the top is perfect, it's breathtakingly beautiful.",0,0,0,0,0,0,0,1
"The restaurant is absolutely terrible, the food is overpriced and underseasoned.",0,0,0,0,0,0,0,1
"I'm completely exhausted, I need to sleep for a week.",0,0,0,0,0,0,0,1
"The new video game is totally addictive, I've been playing it for hours.",0,0,0,0,0,0,0,1
"This is the perfect gift, it's exactly what I wanted.",0,0,0,0,0,0,0,1
"The traffic is absolutely terrible, it's going to take us hours to get home.",0,0,0,0,0,0,0,1
"The park is completely deserted, I've never seen it so empty.",0,0,0,0,0,0,0,1
"The teacher is totally unfair, they always give us too much homework.",0,0,0,0,0,0,0,1
"The city is perfect, it has everything I need and more.",0,0,0,0,0,0,0,1
"The food at this restaurant is completely overrated, it's not that good.",0,0,0,0,0,0,0,1
"I'm absolutely thrilled with the new job offer, it's a dream come true.",0,0,0,0,0,0,0,1
"The hotel is totally luxurious, it's the best I've ever stayed in.",0,0,0,0,0,0,0,1
"The weather is completely unpredictable, it's sunny one minute and rainy the next.",0,0,0,0,0,0,0,1
"The new policy is perfect, it's going to solve all our problems.",0,0,0,0,0,0,0,1
"The museum is absolutely fascinating, I could spend hours here.",0,0,0,0,0,0,0,1
"The music is totally awful, it's the worst I've ever heard.",0,0,0,0,0,0,0,1
"The restaurant is completely booked, we can't get a table.",0,0,0,0,0,0,0,1
"The movie is absolutely terrifying, I couldn't watch it alone.",0,0,0,0,0,0,0,1
"The beach is perfect, it's my favorite place in the world.",0,0,0,0,0,0,0,1
"I'm totally uninterested in the new TV show, it's not my thing.",0,0,0,0,0,0,0,1
"The city is completely dirty, it's the worst place I've ever been.",0,0,0,0,0,0,0,1
"The hotel room is absolutely beautiful, it's the best I've ever seen.",0,0,0,0,0,0,0,1
"The food is totally disgusting, it's the worst I've ever tasted.",0,0,0,0,0,0,0,1
"The park is perfect, it's my happy place.",0,0,0,0,0,0,0,1
"The teacher is absolutely amazing, they're the best I've ever had.",0,0,0,0,0,0,0,1
"The traffic is completely horrific, it's the worst I've ever seen.",0,0,0,0,0,0,0,1
"The new employee is totally brilliant, they're going to change the company.",0,0,0,0,0,0,0,1
"The restaurant is absolutely perfect, it's my favorite place to eat.",0,0,0,0,0,0,0,1
"I'm completely done with this project, it's taken up too much of my time.",0,0,0,0,0,0,0,1
"I met one lawyer who was dishonest, so all lawyers must be dishonest.",0,0,0,0,0,0,1,0
"My friend's sister married a man from Europe and he's really romantic, so all European men must be romantic.",0,0,0,0,0,0,1,0
"I had one bad experience with a certain restaurant, so all restaurants of that chain must be bad.",0,0,0,0,0,0,1,0
"My neighbor's kid is homeschooled and really smart, so all homeschooled kids must be smarter than public-schooled kids.",0,0,0,0,0,0,1,0
"I know one person who became rich by investing in real estate, so anyone can get rich by investing in real estate.",0,0,0,0,0,0,1,0
"I once met a programmer who was really introverted, so all programmers must be introverts.",0,0,0,0,0,0,1,0
"My aunt went to a certain doctor and got better, so that doctor must be the best in town.",0,0,0,0,0,0,1,0
"I saw one video of a cat doing tricks, so all cats must be able to do tricks.",0,0,0,0,0,0,1,0
"I read about one successful startup that began in a garage, so all startups should begin in garages.",0,0,0,0,0,0,1,0
"My cousin's husband is from a certain city and he's really friendly, so everyone from that city must be friendly.",0,0,0,0,0,0,1,0
"I bought one product from a company and it was great, so all their products must be great.",0,0,0,0,0,0,1,0
"I met one politician who seemed genuinely interested in helping people, so all politicians must be like that.",0,0,0,0,0,0,1,0
"I know one athlete who uses a certain brand of shoes and won a championship, so that brand must be the best for winning.",0,0,0,0,0,0,1,0
"My friend's brother went to a certain college and got a great job, so that college must guarantee great job placements.",0,0,0,0,0,0,1,0
"I saw a documentary about one company that treats its employees well, so all companies in that industry must treat their employees well.",0,0,0,0,0,0,1,0
"I met one engineer who was also a great artist, so all engineers must have a hidden talent for art.",0,0,0,0,0,0,1,0
"I once visited a certain country and the people were really welcoming, so everyone in that country must be welcoming to tourists.",0,0,0,0,0,0,1,0
"I tried one type of meditation and it didn't work for me, so meditation doesn't work for anyone.",0,0,0,0,0,0,1,0
"I dated someone who was really into fitness and they were great, so all people into fitness must make great partners.",0,0,0,0,0,0,1,0
"My sister's friend started a business without a plan and succeeded, so anyone can start a successful business without planning.",0,0,0,0,0,0,1,0
"I bought a certain brand of car and it's been reliable, so all cars from that brand must be reliable.",0,0,0,0,0,0,1,0
"I met one person who learned a new language in a month, so anyone can learn a new language in a month.",0,0,0,0,0,0,1,0
"I know one family who homeschools their kids and they're all really close, so homeschooling must be the key to a close family.",0,0,0,0,0,0,1,0
"I read about one city that implemented a certain policy and saw improvement, so all cities should implement that policy.",0,0,0,0,0,0,1,0
"I visited one museum and it was boring, so all museums must be boring.",0,0,0,0,0,0,1,0
"I have a friend who is a vegetarian and is really healthy, so all vegetarians must be healthier than non-vegetarians.",0,0,0,0,0,0,1,0
"I once worked with a team that had a lot of meetings and we were productive, so all teams should have a lot of meetings to be productive.",0,0,0,0,0,0,1,0
"I met one entrepreneur who succeeded without a business degree, so anyone can succeed in business without a degree.",0,0,0,0,0,0,1,0
"I used a certain brand of computer and it was fast, so all computers from that brand must be fast.",0,0,0,0,0,0,1,0
"I know one couple who got married after a short time of dating and they're happy, so all couples who get married quickly must be happy.",0,0,0,0,0,0,1,0
"I tried one method of studying and it worked for me, so that method must work for everyone.",0,0,0,0,0,0,1,0
"I met one scientist who was also a great public speaker, so all scientists must be good at public speaking.",0,0,0,0,0,0,1,0
"I once stayed at a hotel chain and had a great experience, so all hotels in that chain must be great.",0,0,0,0,0,0,1,0
"I have a friend who is really into reading and is smart, so all people who read a lot must be smarter.",0,0,0,0,0,0,1,0
"I read about one company that went bankrupt after expanding too quickly, so all companies that expand quickly will go bankrupt.",0,0,0,0,0,0,1,0
"I know one artist who was self-taught and successful, so all artists must be self-taught to be successful.",0,0,0,0,0,0,1,0
"I met one person who switched careers at 40 and was successful, so anyone can switch careers at any age and be successful.",0,0,0,0,0,0,1,0
"I used a certain app and it was helpful, so all similar apps must be just as helpful.",0,0,0,0,0,0,1,0
"I once attended a conference and met really interesting people, so all conferences must be great for networking.",0,0,0,0,0,0,1,0
"I have a friend who moved to a new city without a job and found one quickly, so anyone can move to a new city and easily find a job.",0,0,0,0,0,0,1,0
"I tried one type of exercise and saw results, so that type of exercise must be the best for everyone.",0,0,0,0,0,0,1,0
"I met one teacher who was really passionate and inspiring, so all teachers must be passionate and inspiring.",0,0,0,0,0,0,1,0
"I know one person who was successful in business without a lot of experience, so experience isn't necessary for success in business.",0,0,0,0,0,0,1,0
"I once visited a certain type of store and had a great customer service experience, so all stores of that type must have great customer service.",0,0,0,0,0,0,1,0
All men are bad at cooking.,0,1,1,0,0,0,0,0
Every Asian person is good at math.,0,1,1,0,0,0,0,0
All women are emotional and can't make rational decisions.,0,1,1,0,0,0,0,0
Every person from the South is uneducated.,0,1,1,0,0,0,0,0
All old people are out of touch with technology.,0,1,1,0,0,0,0,0
Every Muslim is a terrorist.,0,1,1,0,0,0,0,0
All young people are reckless and irresponsible.,0,1,1,0,0,0,0,0
Every person from New York is rude.,0,1,1,0,0,0,0,0
All athletes are dumb jocks.,0,1,1,0,0,0,0,0
Every senior citizen is frail and weak.,0,1,1,0,0,0,0,0
All engineers are socially awkward.,0,1,1,0,0,0,0,0
Every person from California is a hippie.,0,1,1,0,0,0,0,0
All politicians are corrupt and selfish.,0,1,1,0,0,0,0,0
Every teacher is underpaid and overworked.,0,1,1,0,0,0,0,0
All lawyers are liars and cheats.,0,1,1,0,0,0,0,0
Every nurse is compassionate and caring.,0,1,1,0,0,0,0,0
All artists are poor and struggling.,0,1,1,0,0,0,0,0
Every scientist is a genius and introverted.,0,1,1,0,0,0,0,0
All farmers are uneducated and simple-minded.,0,1,1,0,0,0,0,0
Every person from the city is materialistic and shallow.,0,1,1,0,0,0,0,0
All people with tattoos are rebellious and troubled.,0,1,1,0,0,0,0,0
Every stay-at-home mom is lazy and unfulfilled.,0,1,1,0,0,0,0,0
All entrepreneurs are risk-takers and workaholics.,0,1,1,0,0,0,0,0
Every person with a disability is helpless and dependent.,0,1,1,0,0,0,0,0
All people who wear glasses are nerds and introverted.,0,1,1,0,0,0,0,0
Every person who likes sports is aggressive and competitive.,0,1,1,0,0,0,0,0
All people who eat healthy are pretentious and selfish.,0,1,1,0,0,0,0,0
Every person who practices yoga is spiritual and flexible.,0,1,1,0,0,0,0,0
People from different cultures wear various types of clothing.,0,0,0,0,0,0,0,0
Men and women have different physical characteristics.,0,0,0,0,0,0,0,0
Employees of all ages work in the technology industry.,0,0,0,0,0,0,0,0
"Some individuals prefer to work at night, while others prefer daytime shifts.",0,0,0,0,0,0,0,0
Women and men can both participate in professional sports.,0,0,0,0,0,0,0,0
The population of a city is composed of people from diverse racial backgrounds.,0,0,0,0,0,0,0,0
Older adults can pursue higher education and career changes.,0,0,0,0,0,0,0,0
Both men and women can be stay-at-home parents.,0,0,0,0,0,0,0,0
People have varying abilities and disabilities that affect their daily lives.,0,0,0,0,0,0,0,0
Different professions require unique skills and training.,0,0,0,0,0,0,0,0
Women and men can work together in the same workplace.,0,0,0,0,0,0,0,0
Cities have populations with diverse socioeconomic backgrounds.,0,0,0,0,0,0,0,0
"Some people enjoy spending their free time outdoors, while others prefer indoors.",0,0,0,0,0,0,0,0
The ability to speak multiple languages is beneficial in many careers.,0,0,0,0,0,0,0,0
Men and women can serve in the military and hold leadership positions.,0,0,0,0,0,0,0,0
Age and experience can influence a person's career advancement.,0,0,0,0,0,0,0,0
Individuals of different racial backgrounds can hold public office.,0,0,0,0,0,0,0,0
Some people have part-time jobs to supplement their income.,0,0,0,0,0,0,0,0
The average lifespan of a person varies depending on their location and lifestyle.,0,0,0,0,0,0,0,0
Women and men can both be entrepreneurs and start their own businesses.,0,0,0,0,0,0,0,0
People can follow various dietary preferences for health or personal reasons.,0,0,0,0,0,0,0,0
The number of women in STEM fields is increasing over time.,0,0,0,0,0,0,0,0
Men and women can work in the same occupation and have equal opportunities.,0,0,0,0,0,0,0,0
The global population is projected to continue growing in the coming decades.,0,0,0,0,0,0,0,0
Different cultures have unique traditions and customs.,0,0,0,0,0,0,0,0
Individuals of all ages can participate in volunteer work and community service.,0,0,0,0,0,0,0,0
People can have various family structures and living arrangements.,0,0,0,0,0,0,0,0
The cost of higher education can vary significantly depending on location and institution.,0,0,0,0,0,0,0,0
"Some people prefer to work independently, while others prefer teamwork.",0,0,0,0,0,0,0,0
Women and men can both be affected by mental health issues.,0,0,0,0,0,0,0,0
People can have different learning styles and preferences.,0,0,0,0,0,0,0,0
The impact of technology on daily life is a common topic of discussion.,0,0,0,0,0,0,0,0
Cities have varying levels of air and water quality.,0,0,0,0,0,0,0,0
Men and women can both be artists and creatives.,0,0,0,0,0,0,0,0
The job market is influenced by economic trends and technological advancements.,0,0,0,0,0,0,0,0
Individuals of different racial backgrounds can experience varying levels of socioeconomic inequality.,0,0,0,0,0,0,0,0
People can have different personality traits and characteristics.,0,0,0,0,0,0,0,0
The concept of work-life balance is important for overall well-being.,0,0,0,0,0,0,0,0
Women and men can both serve as role models and mentors.,0,0,0,0,0,0,0,0
The world population is becoming increasingly urbanized.,0,0,0,0,0,0,0,0
People can have different spiritual or religious beliefs and practices.,0,0,0,0,0,0,0,0
Some individuals have a strong preference for working in a team environment.,0,0,0,0,0,0,0,0
The number of older adults in the workforce is increasing.,0,0,0,0,0,0,0,0
Men and women can both participate in competitive sports and fitness activities.,0,0,0,0,0,0,0,0
People can have varying levels of physical ability and mobility.,0,0,0,0,0,0,0,0
